dir,regime,with_trend,net,adr,hold,wide,mae_pts,eod_move,fill_hour,Date,yr,gap,vix_prev
L,BEAR,False,-280.0,17.52,20,5.25,19.0,-11.75,09,2010-06-21,2010,0.92,23.95
L,NEUTRAL,False,-280.0,17.57,21,5.25,19.5,-18.75,11,2010-06-22,2010,0.042,24.88
S,BEAR,True,-280.0,17.88,45,5.25,10.25,-1.5,09,2010-06-23,2010,0.086,27.05
S,BULL,False,-267.5,16.77,19,5.0,8.25,3.25,10,2010-06-24,2010,0.258,26.91
L,BEAR,False,520.0,16.9,58,5.0,0.25,10.75,10,2010-06-25,2010,0.145,29.74
L,BULL,True,-267.5,16.9,17,5.0,6.0,-1.75,13,2010-06-25,2010,0.145,29.74
S,BULL,False,-267.5,16.95,9,5.0,6.25,1.75,09,2010-06-28,2010,0.043,28.53
S,BULL,False,195.0,16.95,18,5.0,1.75,4.25,13,2010-06-28,2010,0.043,28.53
S,NEUTRAL,False,220.0,16.95,15,5.0,1.25,4.75,13,2010-06-28,2010,0.043,28.53
L,BEAR,False,-267.5,16.4,57,5.0,10.25,-5.5,09,2010-06-29,2010,0.869,29.0
L,NEUTRAL,False,-267.5,16.4,27,5.0,10.0,-5.25,12,2010-06-29,2010,0.869,29.0
S,BEAR,True,757.5,16.93,68,5.0,3.75,15.5,09,2010-06-30,2010,0.059,34.13
L,NEUTRAL,False,132.5,17.77,36,5.25,3.25,3.0,12,2010-07-01,2010,0.104,34.54
L,BULL,True,-280.0,17.77,3,5.25,6.25,0.0,13,2010-07-01,2010,0.104,34.54
L,BEAR,False,-305.0,18.85,4,5.75,9.0,-5.5,10,2010-07-02,2010,0.238,32.86
L,BULL,True,-280.0,17.77,18,5.25,21.0,-10.5,09,2010-07-06,2010,1.154,30.12
S,BULL,False,-280.0,17.77,29,5.25,22.5,-22.0,09,2010-07-07,2010,0.104,29.65
L,BEAR,False,445.0,19.73,54,6.0,3.75,9.25,10,2010-07-08,2010,0.306,26.84
S,BULL,False,-117.5,19.45,67,5.75,4.75,-2.0,09,2010-07-09,2010,0.044,25.71
S,BEAR,True,-305.0,18.85,50,5.75,6.5,-5.5,11,2010-07-12,2010,0.072,24.98
L,BULL,True,-280.0,17.35,14,5.25,9.5,-2.0,11,2010-07-14,2010,0.1,24.56
S,BEAR,True,-267.5,16.48,35,5.0,12.5,-7.25,10,2010-07-15,2010,0.014,24.89
S,NEUTRAL,False,570.0,16.02,63,4.75,1.0,11.75,09,2010-07-16,2010,0.258,25.14
L,NEUTRAL,False,70.0,16.95,50,5.0,2.0,1.75,11,2010-07-19,2010,0.116,26.25
L,BULL,True,1020.0,18.05,66,5.5,0.75,20.75,09,2010-07-20,2010,0.625,25.97
L,BEAR,False,932.5,18.05,52,5.5,1.75,19.0,10,2010-07-20,2010,0.625,25.97
L,BULL,True,407.5,18.05,15,5.5,0.75,8.5,13,2010-07-20,2010,0.625,25.97
S,BEAR,True,707.5,18.32,51,5.5,3.25,14.5,10,2010-07-21,2010,0.259,23.93
L,NEUTRAL,False,-30.0,17.27,68,5.25,3.25,-0.25,09,2010-07-22,2010,0.843,25.64
L,BULL,True,-117.5,17.27,55,5.25,5.0,-2.0,10,2010-07-22,2010,0.843,25.64
L,BULL,True,170.0,17.48,22,5.25,3.75,3.75,13,2010-07-23,2010,0.072,24.63
S,NEUTRAL,False,-67.5,18.15,32,5.5,3.25,-1.0,12,2010-07-26,2010,0.014,23.47
S,BEAR,True,-30.0,18.48,48,5.5,2.0,-0.25,11,2010-07-27,2010,0.411,22.73
L,NEUTRAL,False,-292.5,18.48,14,5.5,6.0,-2.75,13,2010-07-28,2010,0.184,23.19
S,BEAR,True,-292.5,18.5,10,5.5,11.0,-3.25,11,2010-07-29,2010,0.427,24.25
L,BULL,True,232.5,19.0,55,5.75,5.0,5.0,10,2010-07-30,2010,0.585,24.13
S,BULL,False,-55.0,18.15,24,5.5,3.5,-0.75,13,2010-08-02,2010,0.812,23.5
S,NEUTRAL,False,20.0,18.15,24,5.5,1.0,0.75,13,2010-08-03,2010,0.098,22.01
L,BULL,True,132.5,16.32,37,5.0,2.5,3.0,12,2010-08-04,2010,0.113,22.63
L,NEUTRAL,False,182.5,14.85,65,4.5,3.25,4.0,09,2010-08-05,2010,0.421,22.21
S,BEAR,True,-192.5,14.85,54,4.5,3.75,-3.5,10,2010-08-05,2010,0.421,22.21
S,BULL,False,-230.0,14.05,36,4.25,11.0,-10.75,10,2010-08-06,2010,0.646,22.1
S,NEUTRAL,False,-230.0,13.97,45,4.25,5.25,-4.25,09,2010-08-09,2010,0.225,21.74
L,BEAR,False,-230.0,13.9,8,4.25,10.25,-10.0,09,2010-08-11,2010,1.028,22.37
S,BULL,False,-230.0,14.38,10,4.25,5.0,0.5,09,2010-08-12,2010,0.776,25.39
L,BULL,True,-217.5,13.38,21,4.0,5.5,-5.25,13,2010-08-13,2010,0.115,25.73
S,BULL,False,20.0,12.35,68,3.75,2.75,0.75,09,2010-08-16,2010,0.318,26.24
L,NEUTRAL,False,32.5,12.97,64,4.0,0.25,1.0,09,2010-08-18,2010,0.057,24.33
L,BULL,True,-217.5,12.97,23,4.0,10.0,-10.0,13,2010-08-18,2010,0.057,24.33
S,BEAR,True,220.0,13.47,58,4.0,2.25,4.75,10,2010-08-19,2010,0.029,24.59
S,BEAR,True,-217.5,13.47,35,4.0,7.0,0.0,11,2010-08-19,2010,0.029,24.59
S,BEAR,True,-242.5,14.72,22,4.5,6.25,-5.75,11,2010-08-20,2010,0.043,26.44
S,BEAR,True,245.0,14.03,48,4.25,3.25,5.25,11,2010-08-23,2010,0.217,25.49
L,BEAR,False,-192.5,14.75,43,4.5,4.25,-3.5,11,2010-08-24,2010,0.683,25.66
S,BULL,False,170.0,14.75,19,4.5,3.75,3.75,13,2010-08-24,2010,0.683,25.66
S,NEUTRAL,False,-230.0,14.55,8,4.25,14.5,-12.0,09,2010-08-25,2010,0.337,27.46
S,NEUTRAL,False,420.0,14.93,51,4.5,1.0,8.75,10,2010-08-26,2010,0.205,26.7
L,NEUTRAL,False,382.5,15.22,50,4.5,1.75,8.0,11,2010-08-27,2010,0.5,27.37
S,NEUTRAL,False,-242.5,15.22,3,4.5,8.75,-8.25,12,2010-08-27,2010,0.5,27.37
S,BEAR,True,607.5,17.07,42,5.0,1.75,12.5,11,2010-08-30,2010,0.218,24.45
S,BEAR,True,520.0,17.07,20,5.0,0.75,10.75,13,2010-08-30,2010,0.218,24.45
S,BEAR,True,-55.0,17.52,25,5.25,1.25,-0.75,13,2010-08-31,2010,0.074,27.21
S,BULL,False,-217.5,17.5,56,5.25,4.5,-4.0,10,2010-09-01,2010,0.527,26.05
L,NEUTRAL,False,307.5,18.18,60,5.5,2.0,6.5,10,2010-09-02,2010,0.014,23.89
L,BULL,True,70.0,17.2,18,5.25,2.5,1.75,13,2010-09-03,2010,0.559,23.19
S,BULL,False,7.5,15.5,68,4.75,3.25,0.5,09,2010-09-08,2010,0.086,23.8
L,BULL,True,-42.5,15.5,30,4.75,4.5,-0.5,12,2010-09-08,2010,0.086,23.8
L,BEAR,False,-230.0,14.5,32,4.25,5.5,-3.25,09,2010-09-09,2010,0.655,23.25
S,NEUTRAL,False,-230.0,14.5,14,4.25,4.25,0.0,13,2010-09-09,2010,0.655,23.25
L,BULL,True,107.5,13.88,53,4.25,2.75,2.5,10,2010-09-10,2010,0.171,22.81
S,BEAR,True,-192.5,11.9,28,3.5,4.5,-2.5,12,2010-09-13,2010,0.297,21.99
S,BEAR,True,-180.0,10.82,12,3.25,3.25,2.75,13,2010-09-14,2010,0.099,21.21
S,NEUTRAL,False,-180.0,10.55,29,3.25,5.0,-4.5,09,2010-09-15,2010,0.184,21.56
S,NEUTRAL,False,82.5,9.65,44,3.0,1.25,2.0,11,2010-09-17,2010,0.197,21.72
S,NEUTRAL,False,70.0,9.65,24,3.0,1.5,1.75,13,2010-09-17,2010,0.197,21.72
S,BEAR,True,-5.0,11.6,48,3.5,2.5,0.25,11,2010-09-22,2010,0.07,22.35
L,BULL,True,-192.5,11.85,30,3.5,11.5,-8.25,11,2010-09-23,2010,0.532,22.51
S,BULL,False,-205.0,12.25,37,3.75,4.0,-2.5,09,2010-09-24,2010,0.704,23.87
L,BULL,True,132.5,12.78,37,3.75,2.25,3.0,12,2010-09-28,2010,0.112,22.54
S,BEAR,True,-217.5,13.43,9,4.0,6.25,-2.75,10,2010-09-29,2010,0.125,22.6
L,BULL,True,-217.5,13.43,26,4.0,5.5,-0.5,12,2010-09-29,2010,0.125,22.6
L,NEUTRAL,False,-105.0,13.07,24,4.0,2.0,-1.75,13,2010-09-30,2010,0.264,23.25
L,NEUTRAL,False,-230.0,14.18,1,4.25,6.75,1.0,09,2010-10-01,2010,0.545,23.7
S,BEAR,True,-230.0,14.4,40,4.25,4.75,-4.25,11,2010-10-04,2010,0.181,22.5
L,BULL,True,245.0,14.2,58,4.25,0.25,5.25,10,2010-10-05,2010,0.489,23.53
S,NEUTRAL,False,20.0,14.5,65,4.25,1.25,0.75,09,2010-10-06,2010,0.028,21.76
S,BEAR,True,-30.0,14.5,61,4.25,2.25,-0.25,10,2010-10-06,2010,0.028,21.76
S,BEAR,True,-192.5,13.95,24,4.25,4.0,-3.5,13,2010-10-07,2010,0.235,21.49
L,BULL,True,232.5,13.8,74,4.25,4.0,5.0,09,2010-10-08,2010,0.041,21.56
S,BULL,False,-230.0,13.8,17,4.25,6.25,-2.75,10,2010-10-08,2010,0.041,21.56
L,NEUTRAL,False,95.0,13.8,26,4.25,0.75,2.25,13,2010-10-08,2010,0.041,21.56
S,NEUTRAL,False,-42.5,13.78,60,4.25,2.25,-0.5,10,2010-10-11,2010,0.124,20.71
S,NEUTRAL,False,-217.5,13.68,11,4.0,11.75,-7.25,09,2010-10-12,2010,0.234,18.96
L,BEAR,False,-230.0,13.8,31,4.25,5.25,5.5,11,2010-10-14,2010,0.068,19.07
L,NEUTRAL,False,257.5,12.88,30,3.75,2.5,5.5,12,2010-10-15,2010,0.273,19.88
L,BULL,True,157.5,13.28,61,4.0,1.75,3.5,10,2010-10-18,2010,0.123,19.03
S,BULL,False,357.5,12.75,64,3.75,2.25,7.5,09,2010-10-19,2010,0.627,19.09
L,NEUTRAL,False,-205.0,12.75,13,3.75,16.25,-7.75,11,2010-10-19,2010,0.627,19.09
L,BULL,True,-105.0,12.9,36,3.75,3.5,-1.75,12,2010-10-20,2010,0.041,20.63
L,BULL,True,-217.5,13.72,3,4.0,17.25,-8.75,10,2010-10-21,2010,0.232,19.79
S,NEUTRAL,False,170.0,13.72,47,4.0,0.5,3.75,11,2010-10-21,2010,0.232,19.79
S,BEAR,True,-217.5,13.72,6,4.0,5.0,-3.25,13,2010-10-21,2010,0.232,19.79
S,BULL,False,370.0,13.62,72,4.0,0.25,7.75,09,2010-10-25,2010,0.3,18.78
S,NEUTRAL,False,170.0,13.62,58,4.0,1.25,3.75,10,2010-10-25,2010,0.3,18.78
S,BEAR,True,207.5,13.62,56,4.0,0.5,4.5,10,2010-10-25,2010,0.3,18.78
S,BEAR,True,57.5,13.62,37,4.0,3.5,1.5,12,2010-10-25,2010,0.3,18.78
L,BULL,True,95.0,14.07,41,4.25,3.25,2.25,11,2010-10-26,2010,0.367,19.85
L,NEUTRAL,False,195.0,14.07,25,4.25,1.25,4.25,13,2010-10-26,2010,0.367,19.85
S,BULL,False,-217.5,13.32,69,4.0,4.25,-2.75,09,2010-10-27,2010,0.49,20.22
S,BEAR,True,-217.5,13.32,43,4.0,7.75,-6.25,10,2010-10-27,2010,0.49,20.22
S,NEUTRAL,False,-30.0,13.43,62,4.0,3.5,-0.25,10,2010-10-28,2010,0.368,20.71
S,BEAR,True,-217.5,13.43,2,4.0,6.25,-3.0,12,2010-10-28,2010,0.368,20.71
S,NEUTRAL,False,7.5,13.43,61,4.0,1.5,0.5,10,2010-10-29,2010,0.041,20.88
L,BULL,True,-205.0,12.5,9,3.75,15.75,-6.5,09,2010-11-01,2010,0.313,21.2
S,BEAR,True,-205.0,12.12,15,3.75,10.5,-10.25,12,2010-11-03,2010,0.041,21.57
S,NEUTRAL,False,-192.5,11.7,5,3.5,4.5,-2.25,09,2010-11-05,2010,0.0,18.52
S,BULL,False,-17.5,11.85,46,3.5,2.0,0.0,11,2010-11-08,2010,0.186,18.26
S,BEAR,True,357.5,11.4,37,3.5,1.25,7.5,12,2010-11-09,2010,0.173,18.29
S,BULL,False,-205.0,12.28,10,3.75,10.0,-7.0,10,2010-11-10,2010,0.013,19.08
L,NEUTRAL,False,-205.0,12.35,2,3.75,14.0,-10.75,09,2010-11-12,2010,0.389,18.64
L,BEAR,False,-205.0,12.6,2,3.75,11.0,-7.0,09,2010-11-16,2010,0.419,20.2
S,NEUTRAL,False,132.5,13.78,59,4.25,0.75,3.0,10,2010-11-17,2010,0.109,22.58
L,BULL,True,57.5,12.78,59,3.75,3.0,1.5,10,2010-11-18,2010,0.587,21.76
S,NEUTRAL,False,-217.5,13.1,53,4.0,7.25,-6.0,10,2010-11-22,2010,0.324,18.04
S,BEAR,True,-217.5,13.1,49,4.0,7.0,-5.75,10,2010-11-22,2010,0.324,18.04
S,BEAR,True,-217.5,13.1,9,4.0,12.0,-10.75,12,2010-11-22,2010,0.324,18.04
L,BULL,True,-230.0,13.97,14,4.25,4.75,-1.75,09,2010-11-23,2010,0.783,18.37
L,NEUTRAL,False,-205.0,12.18,18,3.75,5.5,-5.25,10,2010-11-26,2010,0.728,19.56
L,BULL,True,270.0,11.9,50,3.5,0.5,5.75,11,2010-12-02,2010,0.121,21.36
S,BEAR,True,-205.0,12.55,60,3.75,7.5,-5.75,09,2010-12-03,2010,0.346,19.39
S,NEUTRAL,False,-205.0,12.55,35,3.75,7.0,-5.25,11,2010-12-03,2010,0.346,19.39
L,BEAR,False,-180.0,11.18,20,3.25,8.25,-7.75,09,2010-12-07,2010,0.639,18.02
L,NEUTRAL,False,170.0,11.45,44,3.5,2.25,3.75,11,2010-12-08,2010,0.12,17.99
S,BULL,False,307.5,10.03,67,3.0,0.75,6.5,09,2010-12-15,2010,0.132,17.61
S,BEAR,True,95.0,10.03,32,3.0,0.75,2.25,12,2010-12-15,2010,0.132,17.61
S,NEUTRAL,False,-117.5,6.45,19,2.0,4.75,-4.5,09,2010-12-31,2010,0.183,17.52
S,BEAR,True,-117.5,6.38,3,2.0,3.5,-2.5,13,2011-01-04,2011,0.247,17.61
L,NEUTRAL,False,-130.0,7.3,2,2.25,6.25,-2.5,09,2011-01-06,2011,0.065,17.02
L,NEUTRAL,False,82.5,7.3,54,2.25,1.5,2.0,10,2011-01-06,2011,0.065,17.02
S,BEAR,True,-130.0,7.67,15,2.25,5.5,-3.75,12,2011-01-07,2011,0.104,17.4
S,BEAR,True,120.0,9.45,33,2.75,1.0,2.75,12,2011-01-19,2011,0.243,15.87
L,BULL,True,107.5,9.78,29,3.0,0.25,2.5,12,2011-01-20,2011,0.181,17.31
S,NEUTRAL,False,157.5,10.22,62,3.0,0.25,3.5,10,2011-01-21,2011,0.478,17.99
S,NEUTRAL,False,-155.0,9.55,8,2.75,8.25,-7.25,09,2011-01-24,2011,0.064,18.47
S,NEUTRAL,False,-167.5,9.65,3,3.0,8.75,-7.75,13,2011-01-25,2011,0.27,17.65
S,BULL,False,82.5,9.97,66,3.0,1.25,2.0,09,2011-01-26,2011,0.18,17.59
L,BEAR,False,-167.5,10.07,3,3.0,16.5,-16.5,09,2011-01-28,2011,0.09,16.15
L,BEAR,False,395.0,11.68,72,3.5,1.0,8.25,09,2011-01-31,2011,0.311,20.04
L,BULL,True,107.5,11.68,24,3.5,2.75,2.5,13,2011-01-31,2011,0.311,20.04
S,NEUTRAL,False,-205.0,12.5,5,3.75,11.75,-8.0,09,2011-02-01,2011,0.399,19.53
S,BEAR,True,-205.0,12.15,7,3.75,9.0,-6.5,10,2011-02-03,2011,0.077,17.3
S,BULL,False,157.5,12.38,54,3.75,0.75,3.5,10,2011-02-07,2011,0.153,15.93
S,BULL,False,-205.0,12.22,60,3.75,4.5,-2.75,09,2011-02-10,2011,0.379,15.87
S,BULL,False,-205.0,12.68,3,3.75,8.5,-7.25,09,2011-02-11,2011,0.253,16.09
S,NEUTRAL,False,-5.0,11.32,71,3.5,3.25,0.25,09,2011-02-14,2011,0.076,15.69
S,NEUTRAL,False,45.0,11.32,46,3.5,2.25,1.25,11,2011-02-14,2011,0.076,15.69
S,BULL,False,-167.5,9.9,24,3.0,3.25,-1.0,12,2011-02-16,2011,0.202,16.37
L,NEUTRAL,False,257.5,10.25,66,3.0,0.25,5.5,09,2011-02-17,2011,0.138,16.72
S,BULL,False,-130.0,9.93,58,3.0,2.25,-2.25,10,2011-02-18,2011,0.088,16.59
L,BULL,True,-155.0,9.57,2,2.75,21.25,-17.5,09,2011-02-22,2011,0.176,16.43
S,BEAR,True,70.0,9.57,21,2.75,1.75,1.75,13,2011-02-22,2011,0.176,16.43
L,NEUTRAL,False,-180.0,11.07,4,3.25,13.75,-6.0,10,2011-02-23,2011,0.038,20.8
S,NEUTRAL,False,145.0,11.95,62,3.5,3.0,3.25,10,2011-02-24,2011,0.038,22.13
S,BEAR,True,-192.5,11.95,20,3.5,8.5,-2.25,11,2011-02-24,2011,0.038,22.13
L,BEAR,False,-192.5,11.95,2,3.5,5.5,4.25,12,2011-02-24,2011,0.038,22.13
S,BULL,False,-130.0,12.5,70,3.75,3.5,-2.25,09,2011-02-25,2011,0.421,21.32
S,NEUTRAL,False,7.5,11.97,71,3.5,2.0,0.5,09,2011-02-28,2011,0.253,19.22
S,BEAR,True,-192.5,11.97,15,3.5,7.25,-4.75,13,2011-02-28,2011,0.253,19.22
S,BEAR,True,720.0,12.28,42,3.75,1.0,14.75,11,2011-03-01,2011,0.252,18.35
S,BEAR,True,157.5,14.88,40,4.5,2.75,3.5,11,2011-03-02,2011,0.102,21.01
L,BEAR,False,370.0,15.25,70,4.5,1.25,7.75,09,2011-03-03,2011,0.687,20.7
L,NEUTRAL,False,220.0,15.25,60,4.5,0.75,4.75,10,2011-03-03,2011,0.687,20.7
L,NEUTRAL,False,-267.5,16.68,7,5.0,22.5,-16.5,09,2011-03-07,2011,0.215,19.06
L,NEUTRAL,False,182.5,18.12,60,5.5,0.25,4.0,10,2011-03-08,2011,0.152,20.66
L,BULL,True,-167.5,17.68,37,5.25,3.25,-3.0,12,2011-03-09,2011,0.088,19.82
L,NEUTRAL,False,-105.0,16.98,28,5.0,3.25,-1.75,12,2011-03-10,2011,0.494,20.22
L,NEUTRAL,False,570.0,16.52,61,5.0,0.75,11.75,10,2011-03-11,2011,0.192,21.88
L,BULL,True,257.5,16.52,36,5.0,2.5,5.5,12,2011-03-11,2011,0.192,21.88
S,BULL,False,-267.5,16.52,10,5.0,6.75,-4.5,13,2011-03-11,2011,0.192,21.88
S,BULL,False,-280.0,17.8,28,5.25,9.75,-1.5,11,2011-03-15,2011,1.75,21.13
S,BULL,False,895.0,17.48,67,5.25,2.75,18.25,09,2011-03-16,2011,0.18,24.32
S,NEUTRAL,False,595.0,17.48,54,5.25,0.25,12.25,10,2011-03-16,2011,0.18,24.32
L,NEUTRAL,False,-305.0,19.55,30,5.75,9.75,-2.75,09,2011-03-17,2011,0.794,29.4
S,BULL,False,95.0,19.07,62,5.75,0.75,2.25,10,2011-03-21,2011,0.773,24.44
L,NEUTRAL,False,-17.5,19.07,16,5.75,2.75,0.0,13,2011-03-21,2011,0.773,24.44
S,NEUTRAL,False,245.0,17.48,69,5.25,1.0,5.25,09,2011-03-22,2011,0.0,20.61
L,BEAR,False,-55.0,17.48,60,5.25,1.25,-0.75,10,2011-03-22,2011,0.0,20.61
L,NEUTRAL,False,595.0,16.23,65,4.75,0.5,12.25,09,2011-03-23,2011,0.153,20.21
S,BULL,False,-167.5,16.73,58,5.0,4.5,-3.0,10,2011-03-24,2011,0.396,19.17
L,BULL,True,-105.0,16.85,44,5.0,4.25,-1.75,11,2011-03-25,2011,0.139,18.0
L,BULL,True,307.5,15.82,44,4.75,0.25,6.5,11,2011-03-29,2011,0.114,19.44
L,BEAR,False,157.5,14.72,67,4.5,0.5,3.5,09,2011-03-30,2011,0.252,18.16
L,BEAR,False,-42.5,12.25,57,3.75,1.75,-0.5,10,2011-03-31,2011,0.1,17.71
L,NEUTRAL,False,-180.0,11.0,35,3.25,3.75,0.75,09,2011-04-04,2011,0.15,17.4
L,BEAR,False,-167.5,10.2,40,3.0,10.5,-5.0,09,2011-04-08,2011,0.313,17.11
L,BEAR,False,-180.0,10.97,26,3.25,7.75,-4.75,09,2011-04-11,2011,0.075,17.87
L,NEUTRAL,False,307.5,11.65,68,3.5,2.0,6.5,09,2011-04-15,2011,0.139,16.27
L,NEUTRAL,False,-192.5,11.68,3,3.5,5.0,5.75,09,2011-04-18,2011,0.894,15.32
S,BEAR,True,57.5,12.12,63,3.75,1.75,1.5,09,2011-04-21,2011,0.238,15.07
L,BEAR,False,495.0,10.18,68,3.0,1.5,10.25,09,2011-04-27,2011,0.274,15.62
L,BULL,True,-155.0,9.55,4,2.75,10.0,-7.0,10,2011-05-02,2011,0.111,14.75
S,BEAR,True,-167.5,9.82,5,3.0,3.5,1.5,10,2011-05-03,2011,0.148,15.99
L,NEUTRAL,False,-167.5,9.82,7,3.0,7.25,-1.0,11,2011-05-03,2011,0.148,15.99
S,BEAR,True,-167.5,9.62,46,3.0,3.5,1.0,09,2011-05-04,2011,0.012,16.7
S,BEAR,True,-167.5,9.62,27,3.0,5.75,-1.25,11,2011-05-04,2011,0.012,16.7
S,BEAR,True,-167.5,9.62,4,3.0,8.25,-3.75,11,2011-05-04,2011,0.012,16.7
L,BULL,True,20.0,9.62,24,3.0,0.75,0.75,13,2011-05-04,2011,0.012,16.7
L,NEUTRAL,False,-167.5,10.18,1,3.0,10.5,-0.75,10,2011-05-05,2011,0.348,17.08
L,BULL,True,-192.5,11.4,1,3.5,16.25,-13.0,11,2011-05-06,2011,0.475,18.2
S,BEAR,True,145.0,11.4,29,3.5,3.0,3.25,12,2011-05-06,2011,0.475,18.2
S,BEAR,True,-205.0,12.88,12,3.75,9.5,-5.75,09,2011-05-09,2011,0.1,18.4
L,BULL,True,195.0,13.35,59,4.0,1.5,4.25,10,2011-05-10,2011,0.212,17.16
S,NEUTRAL,False,-217.5,13.35,29,4.0,5.75,-3.0,11,2011-05-10,2011,0.212,17.16
L,BEAR,False,-217.5,13.3,18,4.0,14.25,-8.5,09,2011-05-11,2011,0.099,15.91
S,NEUTRAL,False,-230.0,13.82,4,4.25,14.25,-13.25,10,2011-05-12,2011,0.15,16.95
L,BEAR,False,-242.5,14.93,2,4.5,13.5,-9.75,09,2011-05-13,2011,0.05,16.03
S,BEAR,True,32.5,14.93,35,4.5,3.25,1.0,12,2011-05-13,2011,0.05,16.03
S,BEAR,True,-267.5,16.27,22,5.0,6.75,-4.5,11,2011-05-17,2011,0.163,18.24
S,BULL,False,-105.0,16.27,30,5.0,4.0,-1.75,12,2011-05-17,2011,0.163,18.24
L,NEUTRAL,False,307.5,16.4,49,5.0,0.25,6.5,11,2011-05-18,2011,0.113,17.55
L,BULL,True,70.0,16.48,23,5.0,3.75,1.75,13,2011-05-19,2011,0.224,16.23
S,BEAR,True,-255.0,15.62,15,4.75,8.5,3.25,10,2011-05-20,2011,0.162,15.52
S,BEAR,True,-255.0,15.62,12,4.75,6.75,5.0,10,2011-05-20,2011,0.162,15.52
L,NEUTRAL,False,-255.0,15.62,11,4.75,8.75,-7.25,13,2011-05-20,2011,0.162,15.52
S,NEUTRAL,False,-242.5,14.95,22,4.5,5.0,0.0,11,2011-05-23,2011,0.677,17.43
S,NEUTRAL,False,332.5,14.7,72,4.5,2.0,7.0,09,2011-05-24,2011,0.24,18.27
S,BEAR,True,57.5,14.7,42,4.5,4.0,1.5,11,2011-05-24,2011,0.24,18.27
L,BULL,True,-155.0,14.7,16,4.5,4.0,-2.75,13,2011-05-24,2011,0.24,18.27
S,BULL,False,-242.5,14.65,48,4.5,6.75,1.25,10,2011-05-25,2011,0.215,17.82
S,BULL,False,-230.0,14.3,10,4.25,9.25,-8.5,11,2011-05-26,2011,0.076,17.07
L,NEUTRAL,False,-230.0,13.8,36,4.25,4.5,-1.5,11,2011-05-27,2011,0.1,16.09
S,BULL,False,-205.0,12.62,5,3.75,7.5,-3.25,11,2011-06-02,2011,0.063,18.3
S,BEAR,True,-205.0,12.82,7,3.75,3.75,7.25,10,2011-06-06,2011,0.0,17.95
S,BULL,False,370.0,13.65,62,4.0,1.5,7.75,10,2011-06-08,2011,0.128,18.07
S,NEUTRAL,False,-217.5,13.65,1,4.0,4.0,2.25,13,2011-06-08,2011,0.128,18.07
L,NEUTRAL,False,7.5,13.1,57,4.0,0.5,0.5,10,2011-06-09,2011,0.257,18.79
L,BEAR,False,-217.5,13.1,3,4.0,6.75,-4.0,09,2011-06-10,2011,0.23,17.77
S,BEAR,True,145.0,14.1,70,4.25,2.0,3.25,09,2011-06-13,2011,0.155,18.86
S,NEUTRAL,False,-230.0,14.1,3,4.25,5.25,0.0,12,2011-06-13,2011,0.155,18.86
L,BEAR,False,120.0,15.1,57,4.5,0.75,2.75,10,2011-06-14,2011,0.593,19.61
S,BULL,False,170.0,13.82,64,4.25,1.5,3.75,09,2011-06-16,2011,0.039,21.32
L,NEUTRAL,False,-230.0,14.22,25,4.25,9.75,-5.5,09,2011-06-17,2011,0.568,22.73
L,BULL,True,-17.5,14.22,39,4.25,3.75,0.0,11,2011-06-20,2011,0.207,21.85
L,BULL,True,-42.5,14.12,36,4.25,1.5,-0.5,12,2011-06-21,2011,0.309,19.99
L,BULL,True,-230.0,14.35,36,4.25,9.5,-9.5,11,2011-06-22,2011,0.064,18.86
S,NEUTRAL,False,-242.5,14.75,16,4.5,18.0,-16.25,09,2011-06-23,2011,0.641,18.52
L,BEAR,False,-255.0,15.47,60,4.75,5.75,-3.25,09,2011-06-24,2011,0.038,19.29
L,BULL,True,245.0,15.57,64,4.75,2.25,5.25,09,2011-06-27,2011,0.026,21.1
S,NEUTRAL,False,-267.5,16.93,27,5.0,6.0,-5.0,09,2011-06-29,2011,0.153,19.17
S,NEUTRAL,False,-80.0,16.2,70,4.75,4.0,-1.25,09,2011-06-30,2011,0.127,17.27
S,BULL,False,-180.0,15.53,53,4.75,4.0,-3.25,10,2011-07-05,2011,0.037,15.87
L,BULL,True,120.0,15.53,26,4.75,4.25,2.75,13,2011-07-05,2011,0.037,15.87
S,NEUTRAL,False,-230.0,14.38,46,4.25,5.5,-4.5,09,2011-07-07,2011,0.561,16.34
L,NEUTRAL,False,457.5,13.0,64,4.0,3.0,9.5,09,2011-07-08,2011,0.89,15.95
L,BULL,True,-205.0,12.22,67,3.75,5.75,-4.0,09,2011-07-12,2011,0.327,18.39
L,BEAR,False,-205.0,12.43,2,3.75,18.5,-13.5,09,2011-07-14,2011,0.227,19.91
L,NEUTRAL,False,-205.0,12.43,8,3.75,5.75,-1.0,13,2011-07-14,2011,0.227,19.91
S,BEAR,True,-217.5,13.35,10,4.0,8.0,-7.0,10,2011-07-15,2011,0.253,20.8
L,NEUTRAL,False,-205.0,12.28,3,3.75,6.75,2.25,09,2011-07-18,2011,0.415,19.53
L,BULL,True,157.5,13.72,22,4.0,0.5,3.5,13,2011-07-19,2011,0.418,20.95
S,NEUTRAL,False,95.0,14.55,62,4.25,2.25,2.25,10,2011-07-20,2011,0.213,19.21
L,BULL,True,232.5,14.28,58,4.25,3.25,5.0,10,2011-07-21,2011,0.376,19.09
S,NEUTRAL,False,-117.5,15.12,59,4.5,4.0,-2.0,10,2011-07-22,2011,0.112,17.56
S,BULL,False,-242.5,14.8,21,4.5,4.75,2.25,10,2011-07-25,2011,0.621,17.52
