
===== gscalp_lvl =====
                          cfg  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  tr_ndd  oo_n  oo_pnl  oo_pf  oo_win  oo_dd  oo_ndd
lvl_sma20d_ib6_r6_rr1.5_md3.0   446    3895   1.06    48.7  -6718     0.6   446   -5792   0.92    47.1  -7475    -0.8
lvl_sma20d_ib6_r6_rr1.0_md3.0   446    3558   1.06    56.1  -6580     0.5   446   -4805   0.92    53.8  -6005    -0.8
lvl_sma20d_ib6_r4_rr1.5_md3.0   446    1008   1.02    48.2  -7792     0.1   446  -13455   0.77    41.5 -14385    -0.9
lvl_sma20d_ib3_r6_rr1.5_md3.0   488   -2828   0.96    45.9 -10100    -0.3   490  -12725   0.85    44.5 -13992    -0.9
lvl_sma20d_ib3_r6_rr1.0_md3.0   488   -3240   0.95    53.9  -9052    -0.4   490   -7250   0.90    53.1  -9432    -0.8
lvl_sma20d_ib3_r4_rr1.5_md3.0   488   -3965   0.93    45.7  -9395    -0.4   490  -16062   0.76    41.0 -16200    -1.0
lvl_sma20d_ib6_r4_rr1.0_md3.0   446   -4168   0.91    55.6  -8475    -0.5   446  -11055   0.78    51.6 -11900    -0.9
lvl_sma20d_ib6_r3_rr1.5_md3.0   446   -4905   0.89    46.2  -6998    -0.7   446  -14842   0.69    40.1 -15578    -1.0
lvl_sma20d_ib3_r3_rr1.5_md3.0   488   -7202   0.85    44.9  -9682    -0.7   490  -20200   0.64    38.4 -20855    -1.0
lvl_sma20d_ib6_r3_rr1.0_md3.0   446   -7242   0.80    54.9  -8670    -0.8   446   -9180   0.75    53.8  -9578    -1.0
lvl_sma20d_ib3_r4_rr1.0_md3.0   488  -10290   0.81    52.5 -13658    -0.8   490  -16925   0.71    49.8 -17358    -1.0
lvl_sma20d_ib3_r3_rr1.0_md3.0   488  -10952   0.74    52.7 -11912    -0.9   490  -17250   0.62    49.2 -17395    -1.0

===== gswing15_lvl =====
                            cfg  tr_n  tr_pnl  tr_pf  tr_win  tr_dd  tr_ndd  oo_n  oo_pnl  oo_pf  oo_win  oo_dd  oo_ndd
lvl_sma20d_ib12_r12_rr1.5_md3.0   362   21578   1.19    47.8  -7642     2.8   383    4322   1.03    44.6 -15695     0.3
lvl_sma20d_ib12_r10_rr1.5_md3.0   362    9415   1.09    45.6  -7722     1.2   383    -740   0.99    43.1 -14935    -0.0
lvl_sma20d_ib18_r12_rr1.5_md3.0   319    8642   1.09    45.5  -7005     1.2   349    -295   1.00    45.3 -13430    -0.0
lvl_sma20d_ib18_r10_rr1.5_md3.0   319    2042   1.02    44.2 -10090     0.2   349   -9608   0.91    41.8 -15802    -0.6
 lvl_sma20d_ib12_r8_rr1.5_md3.0   362   -3972   0.95    42.8 -10435    -0.4   383    3460   1.04    44.1  -8978     0.4
 lvl_sma20d_ib18_r8_rr1.5_md3.0   319   -8082   0.90    40.8 -13272    -0.6   349   -6382   0.93    41.8 -14485    -0.4

DONE_GATED
