trade_id,strategy,event,side_action,occ_root,expiry,strike,right,time_of_day_et,our_fill_price,print_status,symbol,expiration,trade_timestamp,quote_timestamp,sequence,ext_condition1,ext_condition2,ext_condition3,ext_condition4,condition,size,exchange,price,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition,is_single_leg,is_complex
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:14.020,2026-08-06T09:43:14.003,-1496931132,255,255,255,255,18,4,5,0.75,165,5,0.75,50,127,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:15.434,2026-08-06T09:43:15.433,-1496532243,255,255,255,255,18,1,5,0.80,292,5,0.75,50,138,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:16.055,2026-08-06T09:43:15.867,-1496306454,255,255,255,255,18,14,5,0.80,197,5,0.75,50,156,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:16.055,2026-08-06T09:43:15.867,-1496306453,255,255,255,255,18,2,5,0.80,197,5,0.75,50,156,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:16.055,2026-08-06T09:43:15.867,-1496306450,255,255,255,255,18,1,5,0.80,197,5,0.75,50,156,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:16.055,2026-08-06T09:43:15.867,-1496306448,255,255,255,255,18,1,5,0.80,197,5,0.75,50,156,5,0.80,50,True,False
auto_20260806_084323,eodic_c,entry,SELL,SPXW,20260806,7800.000,CALL,09:43:15,0.75,print,SPXW,2026-08-06,2026-08-06T09:43:16.055,2026-08-06T09:43:15.867,-1496306447,255,255,255,255,18,8,5,0.80,197,5,0.75,50,156,5,0.80,50,True,False
auto_20260806_084246,eodic_p,entry,SELL,SPXW,20260806,7645.000,PUT,09:42:42,1.45,print,SPXW,2026-08-06,2026-08-06T09:42:40.498,2026-08-06T09:42:40.481,-1509845850,255,255,255,255,18,1,5,1.45,90,5,1.45,50,255,5,1.50,50,True,False
auto_20260806_084246,eodic_p,entry,SELL,SPXW,20260806,7645.000,PUT,09:42:42,1.45,print,SPXW,2026-08-06,2026-08-06T09:42:41.293,2026-08-06T09:42:41.283,-1509503727,255,255,255,255,130,1,5,1.46,52,5,1.45,50,253,5,1.50,50,False,True
auto_20260806_084246,eodic_p,entry,SELL,SPXW,20260806,7645.000,PUT,09:42:42,1.45,print,SPXW,2026-08-06,2026-08-06T09:42:43.827,2026-08-06T09:42:43.824,-1508467405,255,255,255,255,18,1,5,1.55,221,5,1.50,50,3,5,1.55,50,True,False
