date,short,en,st,rk,tg,sig_j,slip,res,pnl,year
2021-07-08,True,5105.0,5112.75,7.75,5089.5,129,0.0,stop,-7.75,2021
2021-07-16,False,5140.5,5134.5,6.0,5152.5,44,0.0,stop,-6.0,2021
2021-07-19,False,5050.75,5046.5,4.25,5059.25,25,0.0,stop,-4.25,2021
2021-07-19,True,5045.5,5051.75,6.25,5033.0,26,0.0,stop,-6.25,2021
2021-07-19,False,5042.75,5038.5,4.25,5051.25,35,0.0,stop,-4.25,2021
2021-07-19,False,5035.0,5030.5,4.5,5044.0,47,0.0,target,9.0,2021
2021-07-19,True,5034.0,5040.75,6.75,5020.5,109,0.0,rev,3.75,2021
2021-07-19,False,5032.5,5024.5,8.0,5048.5,160,0.0,eb_scr,-3.25,2021
2021-07-19,False,,,,,166,,nofill,0.0,2021
2021-07-19,True,5033.75,5039.0,5.25,5023.25,167,0.0,rev,4.25,2021
2021-07-19,False,,,,,170,,canc,0.0,2021
2021-07-19,True,5026.0,5031.0,5.0,5016.0,171,0.0,eb_scr,-3.25,2021
2021-07-19,True,5050.25,5057.5,7.25,5035.75,195,0.0,eb_scr,-3.5,2021
2021-07-27,False,,,,,59,,eb_canc,0.0,2021
2021-07-28,False,5189.25,5176.75,12.5,5214.25,58,0.0,open,2.25,2021
2021-08-03,True,,,,,55,,eb_canc,0.0,2021
2021-08-17,True,5216.25,5221.0,4.75,5206.75,79,0.0,stop,-4.75,2021
2021-08-18,False,5229.5,5225.5,4.0,5237.5,60,0.0,stop,-4.0,2021
2021-08-18,False,5225.0,5219.5,5.5,5236.0,64,0.0,target,11.0,2021
2021-08-19,True,,,,,28,,canc,0.0,2021
2021-08-19,False,5184.5,5177.0,7.5,5199.5,118,0.0,target,15.0,2021
2021-08-26,False,,,,,18,,canc,0.0,2021
2021-08-26,False,5277.5,5268.5,9.0,5295.5,20,0.0,stop,-9.0,2021
2021-08-26,False,,,,,35,,eb_canc,0.0,2021
2021-08-26,False,,,,,41,,eb_canc,0.0,2021
2021-08-27,True,,,,,17,,canc,0.0,2021
2021-09-10,False,5283.5,5276.75,6.75,5297.0,34,0.0,stop,-6.75,2021
2021-09-13,False,5269.75,5264.75,5.0,5279.75,25,0.0,stop,-5.0,2021
2021-09-14,True,5255.0,5260.75,5.75,5243.5,21,0.0,stop,-5.75,2021
2021-09-17,False,5235.5,5231.0,4.5,5244.5,64,0.0,target,9.0,2021
2021-09-20,False,5160.25,5153.5,6.75,5173.75,2,0.0,target,13.5,2021
2021-09-20,True,5165.75,5172.5,6.75,5152.25,34,0.0,rev,1.25,2021
2021-09-20,False,5166.0,5161.25,4.75,5175.5,36,0.0,eb_scr,-1.75,2021
2021-09-20,False,5149.25,5144.75,4.5,5158.25,94,0.0,stop,-4.75,2021
2021-09-20,True,5133.25,5142.0,8.75,5115.75,106,0.0,target,17.5,2021
2021-09-20,False,5116.0,5105.75,10.25,5136.5,163,0.0,rev,-3.0,2021
2021-09-20,True,5111.5,5117.25,5.75,5100.0,164,0.0,stop,-5.75,2021
2021-09-20,False,5117.5,5110.75,6.75,5131.0,165,0.0,rev,-3.25,2021
2021-09-20,True,5113.0,5118.0,5.0,5103.0,166,0.0,target,10.0,2021
2021-09-20,False,5112.5,5102.5,10.0,5132.5,176,0.0,target,20.0,2021
2021-09-20,True,5131.0,5138.0,7.0,5117.0,186,0.0,rev,-2.75,2021
2021-09-20,False,5135.0,5130.0,5.0,5145.0,187,0.0,target,10.0,2021
2021-09-22,True,5205.5,5211.25,5.75,5194.0,52,0.0,target,11.5,2021
2021-09-22,False,5197.5,5191.5,6.0,5209.5,77,0.0,rev,-1.25,2021
2021-09-22,True,5195.25,5199.75,4.5,5186.25,78,0.0,stop,-5.75,2021
2021-09-22,False,5205.25,5199.25,6.0,5217.25,100,0.0,rev,-2.5,2021
2021-09-22,True,5201.75,5206.5,4.75,5192.25,101,0.0,rev,4.75,2021
2021-09-22,False,5197.5,5192.75,4.75,5207.0,104,0.0,rev,-2.0,2021
2021-09-22,True,,,,,105,,canc,0.0,2021
2021-09-22,False,,,,,106,,eb_canc,0.0,2021
2021-09-22,False,5198.75,5191.75,7.0,5212.75,109,0.0,stop,-7.0,2021
2021-09-22,False,5192.25,5185.5,6.75,5205.75,127,0.0,target,13.5,2021
2021-09-28,True,5166.0,5175.25,9.25,5147.5,49,0.0,rev,-7.25,2021
2021-09-28,False,5174.5,5163.0,11.5,5197.5,52,0.0,stop,-11.5,2021
2021-09-28,False,5159.75,5152.25,7.5,5174.75,75,0.0,stop,-7.5,2021
2021-09-28,True,5160.75,5165.0,4.25,5152.25,121,0.0,target,8.5,2021
2021-09-28,False,5156.25,5150.75,5.5,5167.25,191,0.0,open,-0.75,2021
2021-09-29,True,5178.25,5184.75,6.5,5165.25,26,0.0,eb_scr,0.75,2021
2021-09-30,False,5152.25,5147.5,4.75,5161.75,51,0.0,target,9.5,2021
2021-09-30,False,5141.25,5136.75,4.5,5150.25,70,0.0,stop,-4.75,2021
2021-09-30,False,,,,,87,,canc,0.0,2021
2021-09-30,True,5115.75,5123.75,8.0,5099.75,88,0.0,rev,-2.25,2021
2021-09-30,False,5118.25,5114.5,3.75,5125.75,89,0.0,rev,0.75,2021
2021-09-30,True,,,,,91,,nofill,0.0,2021
2021-09-30,False,5122.25,5117.25,5.0,5132.25,92,0.0,stop,-5.0,2021
2021-09-30,True,,,,,95,,nofill,0.0,2021
2021-09-30,False,,,,,96,,nofill,0.0,2021
2021-09-30,False,5120.25,5113.25,7.0,5134.25,101,0.0,target,14.0,2021
2021-09-30,False,5133.0,5127.25,5.75,5144.5,119,0.0,stop,-5.75,2021
2021-10-01,True,,,,,31,,canc,0.0,2021
2021-10-01,False,,,,,32,,eb_canc,0.0,2021
2021-10-01,True,5116.25,5119.75,3.5,5109.25,84,0.0,stop,-3.5,2021
2021-10-04,False,,,,,50,,canc,0.0,2021
2021-10-04,True,5094.5,5100.0,5.5,5083.5,51,0.0,rev,1.5,2021
2021-10-04,False,5095.0,5090.25,4.75,5104.5,53,0.0,target,9.5,2021
