rule,book,train_delta,test_delta,killer_days_avoided,winning_days_lost,verdict,economic_story
skip_FOMC,ic,2080.0,2042.0,6,21,ROBUST,FOMC announcement can gap SPX through short strikes; stand aside
skip_FOMC,fly,7661.0,2047.0,0,9,ROBUST,FOMC announcement can gap SPX through short strikes; stand aside
skip_FOMC,puts_band,-244.0,608.0,1,21,DEAD,FOMC announcement can gap SPX through short strikes; stand aside
skip_FOMC,combined,9497.0,4697.0,8,18,ROBUST,FOMC announcement can gap SPX through short strikes; stand aside
skip_CPI,ic,4893.0,-2529.0,4,30,TRAIN_ONLY,CPI announcement can gap SPX through short strikes; stand aside
skip_CPI,fly,14748.0,2219.0,4,15,ROBUST,CPI announcement can gap SPX through short strikes; stand aside
skip_CPI,puts_band,3147.0,-1566.0,1,26,TRAIN_ONLY,CPI announcement can gap SPX through short strikes; stand aside
skip_CPI,combined,22788.0,-1876.0,4,17,TRAIN_ONLY,CPI announcement can gap SPX through short strikes; stand aside
skip_NFP,ic,5120.0,1656.0,4,30,ROBUST,NFP announcement can gap SPX through short strikes; stand aside
skip_NFP,fly,6215.0,1241.0,2,20,ROBUST,NFP announcement can gap SPX through short strikes; stand aside
skip_NFP,puts_band,-745.0,-555.0,0,27,DEAD,NFP announcement can gap SPX through short strikes; stand aside
skip_NFP,combined,10590.0,2342.0,7,22,ROBUST,NFP announcement can gap SPX through short strikes; stand aside
skip_ANY_EVENT,ic,12522.0,1169.0,14,80,ROBUST,ANY_EVENT announcement can gap SPX through short strikes; stand aside
skip_ANY_EVENT,fly,28421.0,5507.0,6,44,ROBUST,ANY_EVENT announcement can gap SPX through short strikes; stand aside
skip_ANY_EVENT,puts_band,2265.0,-1513.0,2,73,TRAIN_ONLY,ANY_EVENT announcement can gap SPX through short strikes; stand aside
skip_ANY_EVENT,combined,43208.0,5163.0,19,56,ROBUST,ANY_EVENT announcement can gap SPX through short strikes; stand aside
skip_callside_FOMC,ic,-260.0,-507.0,3,1,DEAD,relief rallies after FOMC rip through call strikes while puts survive
