section,field,value,source
context_row,2022-06-06 (window),dow=Mon; event=; gap_pct=0.64; prior_ret=-1.63; prior_range=1.07; prior2_ret=1.84; vix_prior=24.79; vix_chg=0.07; em_pts=64.2; cr_eodic_c=5.4; cr_eodic_p=0.1; ic_pnl=767.0; fly_pnl=925.0; puts_band_pnl=0.0; next_ret=0.95,killer_context.csv
context_row,2022-06-07 (window),dow=Tue; event=; gap_pct=-0.61; prior_ret=0.31; prior_range=1.45; prior2_ret=-1.63; vix_prior=25.07; vix_chg=0.28; em_pts=65.1; cr_eodic_c=0.1; cr_eodic_p=4.4; ic_pnl=134.0; fly_pnl=-1996.0; puts_band_pnl=57.0; next_ret=-1.08,killer_context.csv
context_row,2022-06-08 (window),dow=Wed; event=; gap_pct=-0.33; prior_ret=0.95; prior_range=2.04; prior2_ret=0.31; vix_prior=24.02; vix_chg=-1.05; em_pts=63.0; cr_eodic_c=0.15; cr_eodic_p=3.2; ic_pnl=452.0; fly_pnl=-93.0; puts_band_pnl=0.0; next_ret=-2.38,killer_context.csv
context_row,2022-06-09 (TARGET),dow=Thu; event=; gap_pct=-0.34; prior_ret=-1.08; prior_range=1.29; prior2_ret=0.95; vix_prior=23.96; vix_chg=-0.06; em_pts=62.1; cr_eodic_c=0.35; cr_eodic_p=2.85; ic_pnl=-2135.0; fly_pnl=1290.0; puts_band_pnl=-1337.0; next_ret=-2.91,killer_context.csv
context_row,2022-06-10 (window),dow=Fri; event=CPI; gap_pct=-1.08; prior_ret=-2.38; prior_range=2.54; prior2_ret=-1.08; vix_prior=26.09; vix_chg=2.13; em_pts=66.0; cr_eodic_c=0.3; cr_eodic_p=9.8; ic_pnl=-525.0; fly_pnl=-723.0; puts_band_pnl=0.0; next_ret=-3.88,killer_context.csv
context_row,2022-06-13 (window),dow=Mon; event=; gap_pct=-1.61; prior_ret=-2.91; prior_range=1.9; prior2_ret=-2.38; vix_prior=27.75; vix_chg=1.66; em_pts=68.2; cr_eodic_c=0.05; cr_eodic_p=13.8; ic_pnl=-765.0; fly_pnl=-878.0; puts_band_pnl=0.0; next_ret=-0.38,killer_context.csv
narrative,cause,"ECB Governing Council (scheduled meeting, decision 07:45 ET / 06:45 CT; Lagarde presser 08:30 ET / 07:30 CT): ended APP net purchases as of Jul 1, pre-announced 25bp July hike and opened the door to 50bp in September. Global bond yields jumped (10y bund 1.452% 8-yr high; 10y UST to ~3.07%). Plus CPI-eve de-risking (May CPI due 06/10 08:30 ET, printed 8.6% vs 8.3% exp) and Shanghai re-lockdown news (Minhang 2.7M closed management + mass tests in 7 districts, announced Thu). SPX -2.38% to 4017.82, sold off all session, closed at the low.",ecb.europa.eu mp220609; barchart 8630133; bloomberg 2022-06-09 shanghai
narrative,overnight,"US futures were UP overnight, erased gains after the 06:45 CT ECB release (barchart headline: 'Stocks Erase Overnight Gains on a Hawkish ECB'). Eurozone bonds sold off hard; Euro Stoxx fell post-ECB. Shanghai Minhang lockdown announced Thursday (overnight US time). 07:30 CT jobless claims 229k, highest since mid-January. Cash gap only -0.34%, VIX ~flat (23.96, chg -0.06).",barchart 8630133; zacks 1936845; killer_context.csv row 2022-06-09
narrative,prior_days,"Tension visibly building: 06/07 +0.31% after Target's 2nd margin warning; 06/08 -1.08% close near lows on oil at 3-month high $122, 10y UST back above 3.00%, OECD global growth cut to 3.0% from 4.5% — all pre-CPI anxiety. Late-May bear-market rally was rolling over.",zacks 1936718/1936845; nasdaq stock-market-news-for-jun-9-2022
narrative,aftermath,"Continuation, no snap-back: 06/10 CPI 8.6% (40-yr high) SPX -2.91%; 06/13 -3.88% into official bear market (-21% from high) as WSJ signaled 75bp; 06/15 FOMC hiked 75bp. 06/09 was day 1 of a ~-10% four-session cascade.",spglobal jun-2022 market attributes; cnbc
narrative,verdict_0830ct,"NOT a pure ambush, but the vol market gave no warning. Knowable by 08:30 CT: scheduled ECB meeting already delivered hawkish (06:45 CT) with Lagarde presser underway; CPI next morning (event-eve); EU bonds/stocks selling off; put credit 2.85 vs call 0.35 (8:1 skew = market paying up for downside); prior day -1.08% weak close. NOT knowable: gap only -0.34%, VIX flat at 23.96 — gap/VIX-chg filters would NOT trigger. The -2.38% grind-down (accelerating PM, close at low) was an intraday trend day off a quiet-looking open with a premarket-known catalyst.",killer_context.csv; barchart 8630133
