rule,book,train_delta,test_delta,days_flagged,days_flagged_train,days_flagged_test,killer_days_avoided,winning_days_lost,verdict,economic_story
skip_day_if_cr_c>2.0,ic,9056.0,5055.0,208,147,61,12,108,ROBUST,Rich call credit (> 2.0) = market pricing upside risk the EM missed; stand down.
skip_day_if_cr_p>2.0,ic,122.0,-8527.0,255,161,94,14,161,TRAIN_ONLY,Rich put credit (> 2.0) = market pricing downside risk the EM missed; stand down.
skip_day_if_cr_c>2.0,fly,33474.0,20395.0,208,147,61,7,70,ROBUST,Rich call credit (> 2.0) = market pricing upside risk the EM missed; stand down.
skip_day_if_cr_p>2.0,fly,47234.0,37670.0,255,161,94,13,78,ROBUST,Rich put credit (> 2.0) = market pricing downside risk the EM missed; stand down.
skip_day_if_cr_c>2.0,puts_band,848.0,-1210.0,208,147,61,2,99,TRAIN_ONLY,Rich call credit (> 2.0) = market pricing upside risk the EM missed; stand down.
skip_day_if_cr_p>2.0,puts_band,-7440.0,-6057.0,255,161,94,1,136,DEAD,Rich put credit (> 2.0) = market pricing downside risk the EM missed; stand down.
skip_day_if_cr_c>2.5,ic,11321.0,6616.0,171,120,51,12,82,ROBUST,Rich call credit (> 2.5) = market pricing upside risk the EM missed; stand down.
skip_day_if_cr_p>2.5,ic,8991.0,-2891.0,199,124,75,13,114,TRAIN_ONLY,Rich put credit (> 2.5) = market pricing downside risk the EM missed; stand down.
skip_day_if_cr_c>2.5,fly,28815.0,17801.0,171,120,51,7,55,ROBUST,Rich call credit (> 2.5) = market pricing upside risk the EM missed; stand down.
skip_day_if_cr_p>2.5,fly,35011.0,35896.0,199,124,75,12,57,ROBUST,Rich put credit (> 2.5) = market pricing downside risk the EM missed; stand down.
skip_day_if_cr_c>2.5,puts_band,2599.0,-627.0,171,120,51,2,78,TRAIN_ONLY,Rich call credit (> 2.5) = market pricing upside risk the EM missed; stand down.
