rule,book,story,days_skipped,train_delta,test_delta,total_delta,killer_days_avoided,winning_days_lost,avoids_2025_04_09,baseline_train,baseline_test,verdict
|gap|>=0.3,ic,large overnight gap = strikes set on stale info + elevated open vol,481,20271.0,-993.0,19278.0,23,297,True,-21720.0,-3203.0,TRAIN_ONLY
|gap|>=0.3,fly,large overnight gap = strikes set on stale info + elevated open vol,481,58107.0,50459.0,108566.0,19,169,True,-125857.0,-74691.0,ROBUST
|gap|>=0.3,puts_band,large overnight gap = strikes set on stale info + elevated open vol,481,-3197.0,-3132.0,-6329.0,1,223,True,11781.0,3146.0,DEAD
|gap|>=0.3,combined,large overnight gap = strikes set on stale info + elevated open vol,481,75181.0,46334.0,121515.0,44,200,True,-135796.0,-74748.0,ROBUST
gap<=-0.3,ic,down-gaps carry follow-through/vol risk that short-premium eats,209,4844.0,-4541.0,303.0,11,133,True,-21720.0,-3203.0,TRAIN_ONLY
gap<=-0.3,fly,down-gaps carry follow-through/vol risk that short-premium eats,209,27536.0,29768.0,57304.0,10,66,True,-125857.0,-74691.0,ROBUST
gap<=-0.3,puts_band,down-gaps carry follow-through/vol risk that short-premium eats,209,-5637.0,-3218.0,-8855.0,0,115,True,11781.0,3146.0,DEAD
gap<=-0.3,combined,down-gaps carry follow-through/vol risk that short-premium eats,209,26743.0,22009.0,48752.0,23,91,True,-135796.0,-74748.0,ROBUST
|gap|>=0.5,ic,large overnight gap = strikes set on stale info + elevated open vol,250,17081.0,-4591.0,12490.0,11,134,False,-21720.0,-3203.0,TRAIN_ONLY
|gap|>=0.5,fly,large overnight gap = strikes set on stale info + elevated open vol,250,33069.0,38003.0,71072.0,12,79,False,-125857.0,-74691.0,ROBUST
|gap|>=0.5,puts_band,large overnight gap = strikes set on stale info + elevated open vol,250,-202.0,-1490.0,-1692.0,1,107,False,11781.0,3146.0,DEAD
|gap|>=0.5,combined,large overnight gap = strikes set on stale info + elevated open vol,250,49948.0,31922.0,81870.0,25,88,False,-135796.0,-74748.0,ROBUST
gap<=-0.5,ic,down-gaps carry follow-through/vol risk that short-premium eats,123,8086.0,-4428.0,3658.0,5,68,False,-21720.0,-3203.0,TRAIN_ONLY
gap<=-0.5,fly,down-gaps carry follow-through/vol risk that short-premium eats,123,15378.0,23353.0,38731.0,7,38,False,-125857.0,-74691.0,ROBUST
gap<=-0.5,puts_band,down-gaps carry follow-through/vol risk that short-premium eats,123,-1806.0,-1174.0,-2980.0,0,50,False,11781.0,3146.0,DEAD
gap<=-0.5,combined,down-gaps carry follow-through/vol risk that short-premium eats,123,21658.0,17751.0,39409.0,14,43,False,-135796.0,-74748.0,ROBUST
|gap|>=0.75,ic,large overnight gap = strikes set on stale info + elevated open vol,124,8335.0,2403.0,10738.0,6,61,False,-21720.0,-3203.0,ROBUST
|gap|>=0.75,fly,large overnight gap = strikes set on stale info + elevated open vol,124,14933.0,24586.0,39519.0,7,38,False,-125857.0,-74691.0,ROBUST
|gap|>=0.75,puts_band,large overnight gap = strikes set on stale info + elevated open vol,124,-2203.0,1033.0,-1170.0,0,46,False,11781.0,3146.0,DEAD
|gap|>=0.75,combined,large overnight gap = strikes set on stale info + elevated open vol,124,21065.0,28022.0,49087.0,12,36,False,-135796.0,-74748.0,ROBUST
gap<=-0.75,ic,down-gaps carry follow-through/vol risk that short-premium eats,69,7335.0,-176.0,7159.0,3,35,False,-21720.0,-3203.0,TRAIN_ONLY
gap<=-0.75,fly,down-gaps carry follow-through/vol risk that short-premium eats,69,10011.0,17248.0,27259.0,4,16,False,-125857.0,-74691.0,ROBUST
gap<=-0.75,puts_band,down-gaps carry follow-through/vol risk that short-premium eats,69,-893.0,-68.0,-961.0,0,20,False,11781.0,3146.0,DEAD
gap<=-0.75,combined,down-gaps carry follow-through/vol risk that short-premium eats,69,16453.0,17004.0,33457.0,9,17,False,-135796.0,-74748.0,ROBUST
|gap|>=1.0,ic,large overnight gap = strikes set on stale info + elevated open vol,61,4404.0,5574.0,9978.0,4,29,False,-21720.0,-3203.0,ROBUST
|gap|>=1.0,fly,large overnight gap = strikes set on stale info + elevated open vol,61,11493.0,13696.0,25189.0,4,17,False,-125857.0,-74691.0,ROBUST
|gap|>=1.0,puts_band,large overnight gap = strikes set on stale info + elevated open vol,61,-544.0,2763.0,2219.0,0,19,False,11781.0,3146.0,DEAD
|gap|>=1.0,combined,large overnight gap = strikes set on stale info + elevated open vol,61,15353.0,22033.0,37386.0,10,14,False,-135796.0,-74748.0,ROBUST
gap<=-1.0,ic,down-gaps carry follow-through/vol risk that short-premium eats,30,5152.0,2931.0,8083.0,3,14,False,-21720.0,-3203.0,ROBUST
gap<=-1.0,fly,down-gaps carry follow-through/vol risk that short-premium eats,30,6274.0,8739.0,15013.0,3,6,False,-125857.0,-74691.0,ROBUST
gap<=-1.0,puts_band,down-gaps carry follow-through/vol risk that short-premium eats,30,-632.0,858.0,226.0,0,8,False,11781.0,3146.0,DEAD
gap<=-1.0,combined,down-gaps carry follow-through/vol risk that short-premium eats,30,10794.0,12528.0,23322.0,8,6,False,-135796.0,-74748.0,ROBUST
|prior_ret|>=1.0,ic,big prior-day move = elevated realized vol regime next day,285,-5996.0,274.0,-5722.0,17,208,True,-21720.0,-3203.0,DEAD
|prior_ret|>=1.0,fly,big prior-day move = elevated realized vol regime next day,285,60109.0,34610.0,94719.0,11,87,True,-125857.0,-74691.0,ROBUST
|prior_ret|>=1.0,puts_band,big prior-day move = elevated realized vol regime next day,285,-7022.0,-7461.0,-14483.0,2,173,True,11781.0,3146.0,DEAD
|prior_ret|>=1.0,combined,big prior-day move = elevated realized vol regime next day,285,47091.0,27423.0,74514.0,25,117,True,-135796.0,-74748.0,ROBUST
prior_ret<=-1.0,ic,prior-day crash = next-day vol-of-vol and gap risk,130,-407.0,3793.0,3386.0,10,86,True,-21720.0,-3203.0,DEAD
prior_ret<=-1.0,fly,prior-day crash = next-day vol-of-vol and gap risk,130,30853.0,29832.0,60685.0,7,34,True,-125857.0,-74691.0,ROBUST
prior_ret<=-1.0,puts_band,prior-day crash = next-day vol-of-vol and gap risk,130,-3808.0,-4961.0,-8769.0,0,81,True,11781.0,3146.0,DEAD
prior_ret<=-1.0,combined,prior-day crash = next-day vol-of-vol and gap risk,130,26638.0,28664.0,55302.0,17,40,True,-135796.0,-74748.0,ROBUST
|prior_ret|>=1.5,ic,big prior-day move = elevated realized vol regime next day,131,-5461.0,5997.0,536.0,8,92,True,-21720.0,-3203.0,DEAD
|prior_ret|>=1.5,fly,big prior-day move = elevated realized vol regime next day,131,29304.0,25756.0,55060.0,6,34,True,-125857.0,-74691.0,ROBUST
|prior_ret|>=1.5,puts_band,big prior-day move = elevated realized vol regime next day,131,-3672.0,-3565.0,-7237.0,2,76,True,11781.0,3146.0,DEAD
|prior_ret|>=1.5,combined,big prior-day move = elevated realized vol regime next day,131,20171.0,28188.0,48359.0,14,48,True,-135796.0,-74748.0,ROBUST
prior_ret<=-1.5,ic,prior-day crash = next-day vol-of-vol and gap risk,64,-88.0,6934.0,6846.0,5,39,True,-21720.0,-3203.0,DEAD
prior_ret<=-1.5,fly,prior-day crash = next-day vol-of-vol and gap risk,64,17063.0,18855.0,35918.0,4,13,True,-125857.0,-74691.0,ROBUST
prior_ret<=-1.5,puts_band,prior-day crash = next-day vol-of-vol and gap risk,64,-2406.0,-2387.0,-4793.0,0,35,True,11781.0,3146.0,DEAD
prior_ret<=-1.5,combined,prior-day crash = next-day vol-of-vol and gap risk,64,14569.0,23402.0,37971.0,10,16,True,-135796.0,-74748.0,ROBUST
|prior_ret|>=2.0,ic,big prior-day move = elevated realized vol regime next day,57,-9470.0,109.0,-9361.0,1,43,False,-21720.0,-3203.0,DEAD
|prior_ret|>=2.0,fly,big prior-day move = elevated realized vol regime next day,57,18307.0,7752.0,26059.0,2,17,False,-125857.0,-74691.0,ROBUST
|prior_ret|>=2.0,puts_band,big prior-day move = elevated realized vol regime next day,57,-3634.0,-1187.0,-4821.0,0,32,False,11781.0,3146.0,DEAD
|prior_ret|>=2.0,combined,big prior-day move = elevated realized vol regime next day,57,5203.0,6674.0,11877.0,4,19,False,-135796.0,-74748.0,ROBUST
prior_ret<=-2.0,ic,prior-day crash = next-day vol-of-vol and gap risk,29,-3810.0,1250.0,-2560.0,1,20,False,-21720.0,-3203.0,DEAD
prior_ret<=-2.0,fly,prior-day crash = next-day vol-of-vol and gap risk,29,9787.0,4545.0,14332.0,1,9,False,-125857.0,-74691.0,ROBUST
prior_ret<=-2.0,puts_band,prior-day crash = next-day vol-of-vol and gap risk,29,-2356.0,-330.0,-2686.0,0,16,False,11781.0,3146.0,DEAD
prior_ret<=-2.0,combined,prior-day crash = next-day vol-of-vol and gap risk,29,3621.0,5465.0,9086.0,3,8,False,-135796.0,-74748.0,ROBUST
|prior_ret|>=3.0,ic,big prior-day move = elevated realized vol regime next day,15,-4661.0,142.0,-4519.0,0,13,False,-21720.0,-3203.0,DEAD
|prior_ret|>=3.0,fly,big prior-day move = elevated realized vol regime next day,15,5212.0,3282.0,8494.0,1,6,False,-125857.0,-74691.0,ROBUST
|prior_ret|>=3.0,puts_band,big prior-day move = elevated realized vol regime next day,15,-1544.0,-77.0,-1621.0,0,10,False,11781.0,3146.0,DEAD
|prior_ret|>=3.0,combined,big prior-day move = elevated realized vol regime next day,15,-993.0,3347.0,2354.0,1,6,False,-135796.0,-74748.0,DEAD
prior_ret<=-3.0,ic,prior-day crash = next-day vol-of-vol and gap risk,9,-2788.0,-551.0,-3339.0,0,8,False,-21720.0,-3203.0,DEAD
prior_ret<=-3.0,fly,prior-day crash = next-day vol-of-vol and gap risk,9,2234.0,3379.0,5613.0,1,4,False,-125857.0,-74691.0,ROBUST
prior_ret<=-3.0,puts_band,prior-day crash = next-day vol-of-vol and gap risk,9,-763.0,-0.0,-763.0,0,5,False,11781.0,3146.0,DEAD
prior_ret<=-3.0,combined,prior-day crash = next-day vol-of-vol and gap risk,9,-1317.0,2828.0,1511.0,1,4,False,-135796.0,-74748.0,DEAD
