section,key,value
context,2023-09-12,date=2023-09-12|dow=Tue|event=|gap_pct=-0.32|prior_ret=0.67|prior_range=0.51|prior2_ret=0.14|vix_prior=13.8|vix_chg=-0.04|em_pts=39.0|cr_eodic_c=0.0|cr_eodic_p=1.7|ic_pnl=192.0|fly_pnl=-236.0|puts_band_pnl=167.0|next_ret=0.12
context,2023-09-13,date=2023-09-13|dow=Wed|event=CPI|gap_pct=0.02|prior_ret=-0.57|prior_range=0.68|prior2_ret=0.67|vix_prior=14.23|vix_chg=0.43|em_pts=40.0|cr_eodic_c=1.2|cr_eodic_p=0.55|ic_pnl=217.0|fly_pnl=-1056.0|puts_band_pnl=52.0|next_ret=0.84
context,2023-09-14,date=2023-09-14|dow=Thu|event=|gap_pct=0.46|prior_ret=0.12|prior_range=0.58|prior2_ret=-0.57|vix_prior=13.48|vix_chg=-0.75|em_pts=37.9|cr_eodic_c=2.15|cr_eodic_p=0.15|ic_pnl=-371.0|fly_pnl=-488.0|puts_band_pnl=52.0|next_ret=-1.22
context,2023-09-15,date=2023-09-15|dow=Fri|event=|gap_pct=-0.16|prior_ret=0.84|prior_range=0.74|prior2_ret=0.12|vix_prior=12.82|vix_chg=-0.66|em_pts=36.4|cr_eodic_c=0.05|cr_eodic_p=2.2|ic_pnl=-1670.0|fly_pnl=465.0|puts_band_pnl=-1668.0|next_ret=0.07
context,2023-09-18,date=2023-09-18|dow=Mon|event=|gap_pct=-0.12|prior_ret=-1.22|prior_range=1.14|prior2_ret=0.84|vix_prior=13.79|vix_chg=0.97|em_pts=38.7|cr_eodic_c=0.1|cr_eodic_p=0.6|ic_pnl=87.0|fly_pnl=307.0|puts_band_pnl=57.0|next_ret=-0.22
context,2023-09-19,date=2023-09-19|dow=Tue|event=|gap_pct=-0.18|prior_ret=0.07|prior_range=0.54|prior2_ret=-1.22|vix_prior=14.0|vix_chg=0.21|em_pts=39.3|cr_eodic_c=0.0|cr_eodic_p=0.9|ic_pnl=157.0|fly_pnl=227.0|puts_band_pnl=163.0|next_ret=-0.94
ic_trade,eodic_p,date=2023-09-15|strat=eodic_p|method=vix252|center=4505.1|em=36.4|short_k=4470.0|long_k=4445.0|credit=2.2|exit_kind=stop|exit_val=11.05|pnl=-891.52|note=
ic_trade,eodic_c,date=2023-09-15|strat=eodic_c|method=vix252|center=4505.1|em=36.4|short_k=4540.0|long_k=4565.0|credit=0.05|exit_kind=settle|exit_val=0.0|pnl=1.74|note=
ic_trade,openic_p,date=2023-09-15|strat=openic_p|method=vix252|center=4497.98|em=36.4|short_k=4460.0|long_k=4435.0|credit=1.25|exit_kind=stop|exit_val=8.95|pnl=-776.52|note=
ic_trade,openic_c,date=2023-09-15|strat=openic_c|method=vix252|center=4497.98|em=36.4|short_k=4535.0|long_k=4560.0|credit=0.0|exit_kind=settle|exit_val=0.0|pnl=-3.26|note=
fly_trade,eodfly_p,date=2023-09-15|strat=eodfly_p|center=4505.1|short_k=4505.0|long_k=4480.0|credit=13.0|exit_kind=stop|exit_val=15.6|pnl=-266.52|note=
fly_trade,eodfly_c,date=2023-09-15|strat=eodfly_c|center=4505.1|short_k=4505.0|long_k=4530.0|credit=3.4|exit_kind=settle|exit_val=0.0|pnl=336.74|note=
fly_trade,openfly_p,date=2023-09-15|strat=openfly_p|center=4483.1|short_k=4485.0|long_k=4460.0|credit=7.85|exit_kind=stop|exit_val=10.3|pnl=-251.52|note=
fly_trade,openfly_c,date=2023-09-15|strat=openfly_c|center=4483.1|short_k=4485.0|long_k=4510.0|credit=6.5|exit_kind=settle|exit_val=0.0|pnl=646.74|note=
web,cause,"SPX -1.22% 4505.10->4450.32; Nasdaq100 -1.75%. Quarterly triple-witching OpEx; Reuters report TSMC told vendors to delay high-end chip equipment deliveries (published 02:50-05:54 AM EDT, premarket) hit semis (ASML/AMAT/LRCX); UAW strike vs all Big-3 began midnight ET; UMich Sept prelim sentiment fell more than expected at 10:00 ET, selling extended; T-note yields rose."
web,overnight,"S&P futures ~-0.1%, Nasdaq futures ~-0.3% premarket (quiet). UAW strike headline out overnight; TSMC/Reuters story out 02:50 AM EDT. GM -0.3%, F -1.2% premkt."
web,prior_days,"9/13 CPI in-line-core (flat +0.12%); 9/14 +0.84% risk-on ARM IPO +25%, strong retail sales, VIX crushed to 12.82 (-0.66, near cycle lows). No visible tension; complacent tape."
web,aftermath,"Mon 9/18 +0.07% (no continuation, no snap-back), Tue 9/19 -0.22%, then FOMC 9/20 hawkish dots -0.94% and 9/21 bigger break. 9/15 was the front edge of the higher-for-longer September slide."
verdict,detectable_by_0830ct,"YES-partial: quiet gap (-0.16%) but three premarket-knowable warnings: (1) quarterly triple-witching OpEx on calendar; (2) TSMC delay report + UAW strike out hours before entry with semis red premkt; (3) our own entry credits screamed skew: eodic put 2.20 vs call 0.05 at same EM distance (fly put 13.0 vs call 3.4) with VIX 12.82 near lows = downside priced, premium thin on calls."
