family,rule,inputs,knowable_when,verdict,lookahead,infra_needed
credit_day_skip,band_c_0.5-2.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,band_p_0.5-2.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_c<0.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_c>2.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_c>2.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_c>3.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_c>4.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_p<0.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_p>2.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_p>2.5,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
credit_day_skip,skip_day_if_cr_p>3.0,own eodic condor credits (quote at fire),08:30 entry (daemon already quotes before placing),CONFIRMED,NONE,"day-level pre-fire gate stage: quote BOTH condor sides (and for whole-day skips gate ALL triggers incl. flies/open streams) BEFORE placing any order; today the quote happens per-trigger inside fire(). Basis note: backtest credits are ThetaData marks, live gate uses IB quotes - thresholds transfer approximately."
