day,level_type,level,gex,bar_time,touch_px,approach,appr_delta,appr_range,absorbing,divergence,imb_with,imb_against,touch_delta,touch_min_delta,touch_max_delta,delta_rate,unf_auction,sess_poc,hvn_at_level,poc_just_below,ret_5m,ret_15m,ret_30m,ret_60m,mfe_fade,mae_fade,held
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:16:44,7582.5,from_above,556,-5.75,False,False,8,1,-912,-920,1,-894.12,False,7600.25,False,False,5.5,17.5,5.25,9.0,21.25,9.0,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:16:54,7584.5,from_above,-1606,-19.75,False,False,1,1,54,-56,89,12.86,True,7600.25,False,False,3.5,13.5,3.25,7.0,19.25,9.25,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:17:40,7585.25,from_below,-1406,-1.75,False,True,1,1,76,-24,129,5.79,False,7600.25,False,False,3.5,12.0,2.5,6.75,4.5,18.5,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:21:36,7588.0,from_above,732,6.5,False,False,1,0,-59,-156,25,-2.47,False,7600.25,False,False,11.25,4.25,2.5,5.25,15.75,1.5,True
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:42:10,7586.75,from_above,-1137,-6.75,False,False,1,0,-413,-464,3,-11.76,True,7599.25,False,False,1.0,5.75,6.0,3.0,9.0,6.0,False
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 09:52:48,7588.25,from_above,542,0.25,False,False,1,0,-52,-104,66,-0.85,True,7599.25,False,False,6.25,5.5,6.75,-2.75,13.5,2.0,True
2026-07-13,hvl0,7585.0,-720074.805555527,2026-07-13 10:48:49,7588.0,from_above,-348,-4.25,False,False,1,1,84,-63,161,1.06,False,7599.25,False,False,-2.25,-3.25,-9.75,-16.75,0.25,7.5,False
2026-07-13,gex_1,7550.0,3341697.5398531533,2026-07-13 14:38:35,7552.5,from_above,-438,-4.0,False,False,1,0,-216,-461,132,-12.18,True,7570.0,False,False,8.5,12.75,9.25,7.0,14.0,0.25,True
2026-07-13,gex_3,7610.0,2969047.134248901,2026-07-13 08:32:19,7608.5,from_below,1430,11.25,False,False,1,1,92,-33,141,4.7,False,7602.5,False,False,-5.75,-9.0,-6.25,-10.5,14.75,0.25,True
2026-07-13,gex_3,7610.0,2969047.134248901,2026-07-13 09:00:01,7609.75,from_below,1480,10.25,False,False,2,1,384,0,398,19.15,False,7600.25,False,False,-10.25,-6.5,-7.25,-8.75,16.25,0.5,True
