ticker,date,median_low_put_support,median_close_put_support,media_low_put_support,media_close_put_support,worst_low_put_support,worst_close_put_support,regime_success_rate_put_support,come_back_rate_put_support,median_low_put_support_0dte,median_close_put_support_0dte,media_low_put_support_0dte,media_close_put_support_0dte,worst_low_put_support_0dte,worst_close_put_support_0dte,regime_success_rate_put_support_0dte,come_back_rate_put_support_0dte,median_low_call_resistance,median_close_call_resistance,media_low_call_resistance,media_close_call_resistance,worst_low_call_resistance,worst_close_call_resistance,regime_success_rate_call_resistance,come_back_rate_call_resistance,median_low_call_resistance_0dte,median_close_call_resistance_0dte,media_low_call_resistance_0dte,media_close_call_resistance_0dte,worst_low_call_resistance_0dte,worst_close_call_resistance_0dte,regime_success_rate_call_resistance_0dte,come_back_rate_call_resistance_0dte,median_low_1d_min,median_close_1d_min,media_low_1d_min,media_close_1d_min,worst_low_1d_min,worst_close_1d_min,regime_success_rate_1d_min,come_back_rate_1d_min,median_low_1d_max,median_close_1d_max,media_low_1d_max,media_close_1d_max,worst_low_1d_max,worst_close_1d_max,regime_success_rate_1d_max,come_back_rate_1d_max,lookback,n_1d_max,n_1d_min,n_call_resistance,n_call_resistance_0dte,n_put_support,n_put_support_0dte
SPX,2026-07-31,45.70168420466058,38.31565077451956,46.10640065360134,51.27802807488573,115.81129379400926,93.64070657333032,0.9838337182448037,0.46153846153846156,26.937857943465392,18.671976767572243,38.65877187231133,35.69176699510991,179.1079895732109,164.18643847627558,0.8707317073170732,0.47,20.596838404412296,20.58682544104338,26.434863744700372,27.09879887569243,103.73078394837349,80.90405483094027,0.8966346153846154,0.4266666666666667,21.062262335968484,20.829476948744656,25.781713020537026,26.699368281562904,103.73078394837349,82.88472459726503,0.7329700272479565,0.449438202247191,24.646815198702804,26.0231344121524,36.115457764195156,40.81147590695552,169.68380737924497,164.274274138177,0.9080459770114943,0.5402298850574713,15.30281428541392,19.59400179424073,21.87239361198179,23.608423156256418,107.92599490147417,85.90661947055409,0.8942528735632184,0.43209876543209874,1095.0,389.0,395.0,373.0,269.0,426.0,357.0
NDX,2026-07-31,228.957452831266,266.6077695045755,290.5366082974736,294.6510034925734,717.663215016866,690.9365665047821,0.9800399201596807,0.375,135.15489860441815,148.96231832069606,223.97556660376543,208.37917157893943,1439.6148225826748,1412.8881740705908,0.851581508515815,0.47863247863247865,193.371971486664,173.8879426854524,210.7201510308185,204.05886992608526,1085.3912917766147,1082.6148142863572,0.75,0.3492063492063492,132.58668934090235,133.5679543364459,180.28657487290562,173.22991702487923,1085.3912917766147,1082.6148142863572,0.6126984126984127,0.2988505747126437,170.7584717634789,144.31056838610917,213.16917873480133,202.02988316423583,1188.1157605710493,1161.3891120589653,0.8769230769230769,0.4482758620689655,91.45177729699029,93.68495441264783,130.04567850881605,125.33947632500295,752.3408370945737,749.5643596043159,0.8557692307692307,0.3055555555555556,1095.0,445.0,456.0,123.0,193.0,491.0,350.0
RUT,2026-07-31,14.078356808444214,21.024935762454213,21.953757012903637,38.064053169733,105.82099596659636,86.01564319233087,0.9568345323741008,0.5714285714285714,16.814134500325167,12.535408226450214,23.230685010498547,21.829026944285474,86.98270079550694,70.82927317877493,0.7647058823529411,0.3684210526315789,15.162271711843058,10.844813705786414,18.877598707200097,11.773979038610335,44.545569129018375,20.942979585522888,0.9259259259259259,0.38461538461538464,11.554981829540182,9.906804726250352,14.620737035242653,13.138263439209283,45.21363928528846,45.073875330774555,0.8782608695652174,0.5,9.659118920546536,8.74553677611611,14.584511326170986,17.587592155955388,108.82256433052311,89.01721155625762,0.8881118881118881,0.5555555555555556,9.872519068208774,7.662269619798678,11.351548304067553,10.578501616313764,35.70864559773135,34.2631635048012,0.9020979020979021,0.44,1095.0,129.0,127.0,100.0,101.0,133.0,78.0
AAPL,2026-07-31,4.154950416049266,4.009338689740428,5.369401725148894,4.892869392368319,13.896919893230963,9.396029746750642,0.9601449275362319,0.35294117647058826,2.7232507178479675,3.1659744085427364,4.874142813474239,5.074915264362801,26.69557900482125,19.744080128634604,0.9195402298850575,0.5116279069767442,3.2594543022791176,3.626890578385138,3.9232792901109,4.476920800431623,12.49708143096573,11.436964063794541,0.9323308270676691,0.5,2.8016231068221433,3.928605601816822,4.49750727811151,4.5743792300065484,20.173077971233912,14.302749167742371,0.8503937007874016,0.4647887323943662,3.478897730237417,2.159340709077217,6.253589623547356,4.647239160072107,25.598126443331434,20.627113761222017,0.9464285714285714,0.4827586206896552,2.8590306789805138,3.496914190781603,4.599102545254245,4.551884091591589,19.94177136912672,14.188233740679378,0.925,0.46153846153846156,1095.0,259.0,265.0,248.0,216.0,265.0,240.0
MSFT,2026-07-31,2.134913011797534,6.624910867309095,5.378133223646922,7.108746178706006,27.962513963000664,15.920686003778837,0.959349593495935,0.5833333333333334,3.9549072772972975,5.817895865237385,5.489570441752682,5.884692045895383,27.962513963000664,15.920686003778837,0.9201680672268907,0.5128205128205128,3.7126368489385135,3.1992229347416243,4.9342429991992685,3.716858649628747,27.57135842880528,13.263866093459878,0.9070796460176991,0.38235294117647056,4.023567467063491,4.192544523308148,6.069339959165356,6.143084818059452,69.83770369232344,60.80604291493832,0.8387096774193549,0.4166666666666667,5.000649128479918,3.2114404579473352,8.115561104851794,7.748573985747128,45.44632186533233,33.4044939061105,0.9518072289156626,0.5,4.158878437760016,4.7388871647085145,7.358638387760813,8.433892937382335,64.32827162390537,55.29661084652024,0.9477911646586346,0.5357142857142857,1095.0,236.0,237.0,205.0,182.0,236.0,219.0
NVDA,2026-07-31,3.2672382970282,2.995223234833995,3.903410043920045,3.0662365668545783,17.423161182063954,4.545438245991484,0.9790940766550522,0.7272727272727273,2.842847498193629,2.374122288220947,3.9454820666545536,2.8770465758565105,17.423161182063954,7.581606990622348,0.9422382671480144,0.5555555555555556,3.2998685580308957,3.694765735319791,4.181953169485462,4.533960718783032,25.51326846691961,25.403182060706662,0.85546875,0.41935483870967744,2.865858571896958,3.5096153511895616,3.8873554050406427,3.970549512302094,13.362190626645612,10.526640680578609,0.7951807228915663,0.39285714285714285,2.550109862658939,1.9464011355081932,3.524259588326743,2.1547800859709088,17.681732703577353,6.315489792809255,0.9387755102040817,0.4375,1.2909566679226094,2.8268214682981054,3.0621624631166147,4.025640339124619,22.865244101256824,22.755157695043877,0.935374149659864,0.525,1095.0,275.0,276.0,219.0,198.0,281.0,261.0
AMZN,2026-07-31,2.384023802190965,1.589581504243473,3.081654506970421,1.861815913724212,10.024960686762283,5.272370185560569,0.9665924276169265,0.4642857142857143,2.8068324022346176,2.0304310764616864,2.7864406766322785,2.2767977891365474,7.696180391559378,7.406489351450317,0.9170506912442397,0.49295774647887325,2.6764622295562956,2.968523770118217,3.3710656511439105,3.4969593454109904,16.402272868538272,12.153999792810504,0.8962264150943396,0.4266666666666667,2.779835496252981,2.5442419997373213,3.5076203431535813,3.2425296923021936,23.43583756345177,19.187564487724,0.823076923076923,0.3783783783783784,1.9599339860139737,1.6153457249070646,2.607787226797763,2.4508943824370237,11.275167391715494,7.422604501607682,0.9406593406593406,0.49056603773584906,2.0551545017821287,2.5284592409550593,2.7649325676610474,2.8721106862935675,14.37660623640319,10.128333160675421,0.9472527472527472,0.5,1095.0,431.0,428.0,380.0,321.0,434.0,398.0
GOOGL,2026-07-31,4.206956325041633,3.4713705351302053,5.288091852251372,4.034761954870192,17.808523695874555,12.442834179132214,0.9523809523809523,0.40625,3.622728881026125,3.0015067836096776,4.350902027647951,3.7024446601729633,17.808523695874555,12.442834179132214,0.9090909090909091,0.4927536231884058,2.586430416810168,2.354979793843789,3.9645858866938424,4.16502634897233,25.167971587843894,22.552978780794817,0.9110512129380054,0.56,2.949102607842742,2.6637488727388403,4.50212577935142,4.110868133129137,25.167971587843894,22.552978780794817,0.8221574344023324,0.46551724137931033,2.2990581341455205,1.7308610344413826,3.1607137211457568,2.4198253372533696,16.8371496760996,8.884024889191984,0.9399038461538461,0.576271186440678,4.099420497042624,3.319421561236412,5.5743308583325,5.226574145529124,21.753670688431505,20.658404542228514,0.9399038461538461,0.4791666666666667,1095.0,391.0,391.0,338.0,282.0,380.0,350.0
META,2026-07-31,4.057206699301434,7.726663395485743,7.78666775596726,8.244488843954175,24.251075118252754,21.33699952935401,0.9272727272727272,0.48717948717948717,4.723776805869052,7.726663395485743,10.643496618877078,10.528052714081582,62.60872340425532,47.05227865951812,0.87890625,0.41818181818181815,5.753145077154991,6.551587555974555,10.630904631024523,13.505884966755254,121.21888545519022,105.74923476366585,0.9246031746031746,0.5476190476190477,7.986339834016602,5.870216934012132,12.493003081888306,12.41184229345968,121.21888545519022,105.74923476366585,0.84,0.4444444444444444,9.26412308735237,7.355494818652845,14.22138483276545,12.262891015544369,64.54902978723408,42.62330610507268,0.9326241134751773,0.3448275862068966,5.793230034988367,11.546493547793892,16.7005255969005,19.654349612996153,116.08583818835808,100.61618749683373,0.9361702127659575,0.47058823529411764,1095.0,264.0,263.0,233.0,210.0,255.0,225.0
TSLA,2026-07-31,4.018456347884031,1.931890519187349,6.373482347236138,6.403678621471355,43.85338322541788,33.08451438036441,0.9696132596685083,0.6206896551724138,4.466500633178559,5.351190798907372,6.604703648252673,7.220754247731917,53.225766902574925,42.456898057521464,0.9204545454545454,0.5555555555555556,5.550701904336039,6.0503524616277025,7.081294051093009,7.356140527258107,30.092752349196697,22.242013404735467,0.8905325443786982,0.45588235294117646,6.0277620857127046,4.863722390394664,7.175619329620721,6.195813924610362,30.092752349196697,22.242013404735467,0.7924528301886793,0.37735849056603776,3.5704352023072117,4.3555349887133,5.3764453703748805,5.721979040321297,38.201835868092196,27.43296702303873,0.9426229508196722,0.5,4.071991288395639,3.6035989261118093,4.600963134357203,4.410075079407287,23.132951736216352,15.28221279175512,0.9262295081967213,0.5,1095.0,339.0,345.0,301.0,252.0,351.0,324.0
